IDCIDCATEGORIA,IDCIDSUBCATEGORIA,OPC,DESCRICAO,RESTRICAO
Q01,Q019,,Q01.9 Encefalocele NE,5
Q03,Q030,,Q03.0 Malformacoes do aqueduto de Sylvius,5
Q03,Q031,,Q03.1 Atresia fendas Luschka e foramen Magendie,5
Q03,Q038,,Q03.8 Outr hidrocefalia congen,5
Q03,Q039,,Q03.9 Hidrocefalia congen NE,5
Q04,Q040,,Q04.0 Malformacoes congen do corpo caloso,5
Q04,Q041,,Q04.1 Arrinencefalia,5
Q04,Q042,,Q04.2 Holoprosencefalia,5
Q04,Q043,,Q04.3 Outr deform p/reducao do encefalo,5
Q04,Q044,,Q04.4 Displasia do septo e das vias opticas,5
Q04,Q045,,Q04.5 Megalencefalia,5
Q04,Q046,,Q04.6 Cistos cerebrais congen,5
Q04,Q048,,Q04.8 Outr malformacoes congen espec do encefalo,5
Q04,Q049,,Q04.9 Malformacao congen NE do encefalo,5
Q05,Q050,,Q05.0 Espinha bifida cervical c/hidrocefalia,5
Q05,Q051,,Q05.1 Espinha bifida toracica c/hidrocefalia,5
Q05,Q052,,Q05.2 Espinha bifida lombar c/hidrocefalia,5
Q05,Q053,,Q05.3 Espinha bifida sacra c/hidrocefalia,5
Q05,Q054,,Q05.4 Espinha bifida NE c/hidrocefalia,5
Q05,Q055,,Q05.5 Espinha bifida cervical s/hidrocefalia,5
Q05,Q056,,Q05.6 Espinha bifida toracica s/hidrocefalia,5
Q05,Q057,,Q05.7 Espinha bifida lombar s/hidrocefalia,5
Q05,Q058,,Q05.8 Espinha bifida sacra s/hidrocefalia,5
Q05,Q059,,Q05.9 Espinha bifida NE,5
Q06,Q060,,Q06.0 Amielia,5
Q06,Q061,,Q06.1 Hipoplasia e displasia da medula espinal,5
Q06,Q062,,Q06.2 Diastematomielia,5
Q06,Q063,,Q06.3 Outr malformacoes congen da cauda equina,5
Q06,Q064,,Q06.4 Hidromielia,5
Q06,Q068,,Q06.8 Outr malform congen espec medula espinal,5
Q06,Q069,,Q06.9 Malformacao congen NE da medula espinal,5
Q07,Q070,,Q07.0 Sindr de Arnold-Chiari,5
Q07,Q078,,Q07.8 Outr malformacoes congen espec sist nervoso,5
Q07,Q079,,Q07.9 Malformacao congen NE do sist nervoso,5
Q10,Q100,,Q10.0 Ptose congen,5
Q10,Q101,,Q10.1 Ectropio congen,5
Q10,Q102,,Q10.2 Entropio congen,5
Q10,Q103,,Q10.3 Outr malformacoes congen das palpebras,5
Q10,Q104,,Q10.4 Ausencia ou agenesia do aparelho lacrimal,5
Q10,Q105,,Q10.5 Estenose ou estreit congen canal lacrimal,5
Q10,Q106,,Q10.6 Outr malformacoes congen aparelho lacrimal,5
Q10,Q107,,Q10.7 Malformacao congen da orbita,5
Q11,Q110,,Q11.0 Olho cistico,5
Q11,Q111,,Q11.1 Outr form de anoftalmia,5
Q11,Q112,,Q11.2 Microftalmia,5
Q11,Q113,,Q11.3 Macroftalmia,5
Q12,Q120,,Q12.0 Catarata congen,5
Q12,Q121,,Q12.1 Luxacao congen do cristalino,5
Q12,Q122,,Q12.2 Coloboma do cristalino,5
Q12,Q123,,Q12.3 Afaquia congen,5
Q12,Q124,,Q12.4 Esferofaquia,5
Q12,Q128,,Q12.8 Outr malformacoes congen do cristalino,5
Q12,Q129,,Q12.9 Malformacao congen NE do cristalino,5
Q13,Q130,,Q13.0 Coloboma da iris,5
Q13,Q131,,Q13.1 Ausencia de iris,5
Q13,Q132,,Q13.2 Outr malformacoes congen da iris,5
Q13,Q133,,Q13.3 Opacidade congen da cornea,5
Q13,Q134,,Q13.4 Outr malformacoes congen da cornea,5
Q13,Q135,,Q13.5 Esclerotica azul,5
Q13,Q138,,Q13.8 Outr malform congen camara anterior olho,5
Q13,Q139,,Q13.9 Malformacao congen NE camara anterior olho,5
Q14,Q140,,Q14.0 Malformacao congen do humor vitreo,5
Q14,Q141,,Q14.1 Malformacao congen da retina,5
Q14,Q142,,Q14.2 Malformacao congen do disco optico,5
Q14,Q143,,Q14.3 Malformacao congen da coroide,5
Q14,Q148,,Q14.8 Outr malform congen camara posterior olho,5
Q14,Q149,,Q14.9 Malformacao congen NE camara posterior olho,5
Q15,Q150,,Q15.0 Glaucoma congen,5
Q15,Q158,,Q15.8 Outr malformacoes congen espec do olho,5
Q15,Q159,,Q15.9 Malformacao congen NE do olho,5
Q16,Q160,,Q16.0 Ausencia congen do pavilhao auricular,5
Q16,Q161,,Q16.1 Ausencia atresia estreit congen cond audit,5
Q16,Q162,,Q16.2 Ausencia da trompa de Eustaquio,5
Q16,Q163,,Q16.3 Malformacao congen dos ossiculos do ouvido,5
Q16,Q164,,Q16.4 Outr malformacoes congen do ouvido medio,5
Q16,Q165,,Q16.5 Malformacao congen do ouvido interno,5
Q16,Q169,,Q16.9 Malform congen ouvido NE caus compr audicao,5
Q17,Q170,,Q17.0 Pavilhao supranumerario,5
Q17,Q171,,Q17.1 Macrotia,5
Q17,Q172,,Q17.2 Microtia,5
Q17,Q173,,Q17.3 Outr deform da orelha,5
Q17,Q174,,Q17.4 Anomalia de posicao da orelha,5
Q17,Q175,,Q17.5 Orelhas proeminentes,5
Q17,Q178,,Q17.8 Outr malformacoes congen espec da orelha,5
Q17,Q179,,Q17.9 Malformacao congen NE da orelha,5
Q18,Q180,,Q18.0 Seio fistula e cisto orig branquial,5
Q18,Q181,,Q18.1 Seio fistula e cisto pre-auricular,5
Q18,Q182,,Q18.2 Outr malformacoes da fenda branquial,5
Q18,Q183,,Q18.3 Pescoco alado,5
Q18,Q184,,Q18.4 Macrostomia,5
Q18,Q185,,Q18.5 Microstomia,5
Q18,Q186,,Q18.6 Macroqueilia,5
Q18,Q187,,Q18.7 Microqueilia,5
Q18,Q188,,Q18.8 Outr malformacoes congen espec face pescoco,5
Q18,Q189,,Q18.9 Malformacao congen NE da face e do pescoco,5
Q20,Q200,,Q20.0 Tronco arterial comum,5
Q20,Q201,,Q20.1 Ventriculo direito c/dupla via de saida,5
Q20,Q202,,Q20.2 Ventriculo esquerdo c/dupla via de saida,5
Q20,Q203,,Q20.3 Comunicacao ventriculo-atrial discordante,5
Q20,Q204,,Q20.4 Ventriculo c/dupla via de entrada,5
Q20,Q205,,Q20.5 Comunicacao atrio-ventricular discordante,5
Q20,Q206,,Q20.6 Isomerismo dos apendices atriais,5
Q20,Q208,,Q20.8 Outr malform congen camaras e comunic card,5
Q20,Q209,,Q20.9 Malformacao congen NE camaras e comumic card,5
Q21,Q210,,Q21.0 Comunicacao interventricular,5
Q21,Q211,,Q21.1 Comunicacao interatrial,5
Q21,Q212,,Q21.2 Comunicacao atrioventricular,5
Q21,Q213,,Q21.3 Tetralogia de Fallot,5
Q21,Q214,,Q21.4 Comunicacao aortopulmonar,5
Q21,Q218,,Q21.8 Outr malformacoes congen septos cardiacos,5
Q21,Q219,,Q21.9 Malformacao congen NE de septo cardiaco,5
Q22,Q220,,Q22.0 Atresia da valva pulmonar,5
Q22,Q221,,Q22.1 Estenose congen da valva pulmonar,5
Q22,Q222,,Q22.2 Insuf congen da valva pulmonar,5
Q22,Q223,,Q22.3 Outr malformacoes congen da valva pulmonar,5
Q22,Q224,,Q22.4 Estenose congen da valva tricuspide,5
Q22,Q225,,Q22.5 Anomalia de Ebstein,5
Q22,Q226,,Q22.6 Sindr do coracao direito hipoplasico,5
Q22,Q228,,Q22.8 Outr malformacoes congen da valva tricuspide,5
Q22,Q229,,Q22.9 Malformacao congen NE da valva tricuspide,5
Q23,Q230,,Q23.0 Estenose congen da valva aortica,5
Q23,Q231,,Q23.1 Insuf congen da valva aortica,5
Q23,Q232,,Q23.2 Estenose mitral congen,5
Q23,Q233,,Q23.3 Insuf mitral congen,5
Q23,Q234,,Q23.4 Sindr do coracao esquerdo hipoplasico,5
Q23,Q238,,Q23.8 Outr malform congen valvas aortica mitral,5
Q23,Q239,,Q23.9 Malformacao congen NE valvas aortica mitral,5
Q24,Q240,,Q24.0 Dextrocardia,5
Q24,Q241,,Q24.1 Levocardia,5
Q24,Q242,,Q24.2 Cor triatriatum,5
Q24,Q243,,Q24.3 Estenose do infundibulo pulmonar,5
Q24,Q244,,Q24.4 Estenose subaortica congen,5
Q24,Q245,,Q24.5 Malformacoes dos vasos coronarios,5
Q24,Q246,,Q24.6 Bloqueio congen do coracao,5
Q24,Q248,,Q24.8 Outr malformacoes congen espec do coracao,5
Q24,Q249,,Q24.9 Malformacao NE do coracao,5
Q25,Q250,,Q25.0 Permeabilidade do canal arterial,5
Q25,Q251,,Q25.1 Coartacao da aorta,5
Q25,Q252,,Q25.2 Atresia da aorta,5
Q25,Q253,,Q25.3 Estenose da aorta,5
Q25,Q254,,Q25.4 Outr malformacoes congen da aorta,5
Q25,Q255,,Q25.5 Atresia da arteria pulmonar,5
Q25,Q256,,Q25.6 Estenose da arteria pulmonar,5
Q25,Q257,,Q25.7 Outr malformacoes congen da arteria pulmonar,5
Q25,Q258,,Q25.8 Outr malformacoes congen grandes arterias,5
Q25,Q259,,Q25.9 Malformacao congen NE das grandes arterias,5
Q26,Q260,,Q26.0 Estenose congen da veia cava,5
Q26,Q261,,Q26.1 Persistencia da veia cava super esquerda,5
Q26,Q262,,Q26.2 Comunicacao venosa pulmonar anormal total,5
Q26,Q263,,Q26.3 Comunicacao venosa pulmonar anormal parcial,5
Q26,Q264,,Q26.4 Comunicacao venosa pulmonar anormal NE,5
Q26,Q265,,Q26.5 Comunicacao venosa portal anormal,5
Q26,Q266,,Q26.6 Fistula entre veia porta e arteria hepatica,5
Q26,Q268,,Q26.8 Outr malformacoes congen das grandes veias,5
Q26,Q269,,Q26.9 Malformacao congen NE de grande veia,5
Q27,Q270,,Q27.0 Ausencia congen e hipoplasia arteria umbilic,5
Q27,Q271,,Q27.1 Estenose congen da arteria renal,5
Q27,Q272,,Q27.2 Outr malformacoes congen da arteria renal,5
Q27,Q273,,Q27.3 Malformacao arterio-venosa periferica,5
Q27,Q274,,Q27.4 Ectasia venosa congen,5
Q27,Q278,,Q27.8 Outr malform congen espec sist vasc perif,5
Q27,Q279,,Q27.9 Malformacao congen NE do sist vasc perif,5
Q28,Q280,,Q28.0 Malform arteriovenosa de vasos pre-cerebrais,5
Q28,Q281,,Q28.1 Outr malformacoes dos vasos pre-cerebrais,5
Q28,Q282,,Q28.2 Malform arteriovenosa dos vasos cerebrais,5
Q28,Q283,,Q28.3 Outr malformacoes dos vasos cerebrais,5
Q28,Q288,,Q28.8 Outr malform congen espec aparelho circulat,5
Q28,Q289,,Q28.9 Malform congen NE do aparelho circulatorio,5
Q30,Q300,,Q30.0 Atresia das coanas,5
Q30,Q301,,Q30.1 Agenesia ou hipoplasia do nariz,5
Q30,Q302,,Q30.2 Fissura entalhe ou fenda nasal,5
Q30,Q303,,Q30.3 Perfuracao congen do septo nasal,5
Q30,Q308,,Q30.8 Outr malformacoes congen do nariz,5
Q30,Q309,,Q30.9 Malformacao congen NE do nariz,5
Q31,Q310,,Q31.0 Pterigio da laringe,5
Q31,Q311,,Q31.1 Estenose subglotica congen,5
Q31,Q312,,Q31.2 Hipoplasia da laringe,5
Q31,Q313,,Q31.3 Laringocele,5
Q31,Q314,,Q31.4 Estridor congen da laringe,5
Q31,Q318,,Q31.8 Outr malformacoes congen da laringe,5
Q31,Q319,,Q31.9 Malformacao congen NE da laringe,5
Q32,Q320,,Q32.0 Traqueomalacia congen,5
Q32,Q321,,Q32.1 Outr malformacoes congen da traqueia,5
Q32,Q322,,Q32.2 Broncomalacia congen,5
Q32,Q323,,Q32.3 Estenose congen dos bronquios,5
Q32,Q324,,Q32.4 Outr malformacoes congen dos bronquios,5
Q33,Q330,,Q33.0 Pulmao cistico congen,5
Q33,Q331,,Q33.1 Lobo pulmonar supranumerario,5
Q33,Q332,,Q33.2 Sequestro pulmonar,5
Q33,Q333,,Q33.3 Agenesia do pulmao,5
Q33,Q334,,Q33.4 Bronquectasia congen,5
Q33,Q335,,Q33.5 Tec ectopico intrapulmonar,5
Q33,Q336,,Q33.6 Hipoplasia e displasia do pulmao,5
Q33,Q338,,Q33.8 Outr malformacoes congen do pulmao,5
Q33,Q339,,Q33.9 Malformacao congen NE do pulmao,5
Q34,Q340,,Q34.0 Anomalia da pleura,5
Q34,Q341,,Q34.1 Cisto congen do mediastino,5
Q34,Q348,,Q34.8 Outr malform congen espec aparelho respirat,5
Q34,Q349,,Q34.9 Malformacao congen NE do aparelho respirat,5
Q35,Q351,,Q35.1 Fenda do palato duro,5
Q35,Q353,,Q35.3 Fenda do palato mole,5
Q35,Q355,,Q35.5 Fenda dos palatos duro e mole,5
Q35,Q356,,Q35.6 Fenda mediana do palato,5
Q35,Q357,,Q35.7 Fenda da uvula,5
Q35,Q359,,Q35.9 Fenda palatina NE,5
Q36,Q360,,Q36.0 Fenda labial bilateral,5
Q36,Q361,,Q36.1 Fenda labial mediana,5
Q36,Q369,,Q36.9 Fenda labial unilateral,5
Q37,Q370,,Q37.0 Fenda palato duro c/fenda labial bilateral,5
Q37,Q371,,Q37.1 Fenda palato duro c/fenda labial unilateral,5
Q37,Q372,,Q37.2 Fenda palato mole c/fenda labial bilateral,5
Q37,Q373,,Q37.3 Fenda palato mole c/fenda labial unilateral,5
Q37,Q374,,Q37.4 Fenda palatos duro mole c/fenda labial bilat,5
Q37,Q375,,Q37.5 Fenda palatos duro mole c/fend labial unilat,5
Q37,Q378,,Q37.8 Fenda do palato c/fenda labial bilateral NE,5
Q37,Q379,,Q37.9 Fenda do palato c/fenda labial unilateral NE,5
Q38,Q380,,Q38.0 Malformacoes congen dos labios NCOP,5
Q38,Q381,,Q38.1 Anquiloglossia,5
Q38,Q382,,Q38.2 Macroglossia,5
Q38,Q383,,Q38.3 Outr malformacoes congen da lingua,5
Q38,Q384,,Q38.4 Malformacoes congen gland e dutos salivares,5
Q38,Q385,,Q38.5 Malformacoes congen do palato NCOP,5
Q38,Q386,,Q38.6 Outr malformacoes congen da boca,5
Q38,Q387,,Q38.7 Bolsa faringea,5
Q38,Q388,,Q38.8 Outr malformacoes congen da faringe,5
Q39,Q390,,Q39.0 Atresia de esofago s/fistula,5
Q39,Q391,,Q39.1 Atresia esofago c/fistula traqueoesofagica,5
Q39,Q392,,Q39.2 Fistula traqueoesofagica congen s/atresia,5
Q39,Q393,,Q39.3 Estenose congen e estreit congen esofago,5
Q39,Q394,,Q39.4 Pterigio do esofago,5
Q39,Q395,,Q39.5 Dilatacao congen do esofago,5
Q39,Q396,,Q39.6 Diverticulo do esofago,5
Q39,Q398,,Q39.8 Outr malformacoes congen do esofago,5
Q39,Q399,,Q39.9 Malformacao congen NE do esofago,5
Q40,Q400,,Q40.0 Estenose hipertrofica congen do piloro,5
Q40,Q401,,Q40.1 Hernia congen de hiato,5
Q40,Q402,,Q40.2 Outr malformacoes congen espec do estomago,5
Q40,Q403,,Q40.3 Malformacao congen NE do estomago,5
Q40,Q408,,Q40.8 Outr malform congen espec trato digest super,5
Q40,Q409,,Q40.9 Malformacao congen NE trato digestivo super,5
Q41,Q410,,Q41.0 Ausencia atresia e estenose congen duodeno,5
Q41,Q411,,Q41.1 Ausencia atresia e estenose congen do jejuno,5
Q41,Q412,,Q41.2 Ausencia atresia e estenose congen do ileo,5
Q41,Q418,,Q41.8 Ausen atres esten cong out part esp int delg,5
Q41,Q419,,Q41.9 Ausen atres esten cong int delg s/espec loc,5
Q42,Q420,,Q42.0 Ausencia atresia estenose congen reto c/fist,5
Q42,Q421,,Q42.1 Ausencia atresia estenose congen reto s/fist,5
Q42,Q422,,Q42.2 Ausencia atresia estenose congen anus c/fist,5
Q42,Q423,,Q42.3 Ausencia atresia estenose congen anus s/fist,5
Q42,Q428,,Q42.8 Ausenc atres estenose congen outr part colon,5
Q42,Q429,,Q42.9 Ausenc atresia estenose congen part NE colon,5
Q43,Q430,,Q43.0 Diverticulo de Meckel,5
Q43,Q431,,Q43.1 Doenc de Hirschsprung,5
Q43,Q432,,Q43.2 Outr transt funcionais congen do colon,5
Q43,Q433,,Q43.3 Malformacoes congen da fixacao do intestino,5
Q43,Q434,,Q43.4 Duplicacao do intestino,5
Q43,Q435,,Q43.5 Anus ectopico,5
Q43,Q436,,Q43.6 Fistula congen do reto e do anus,5
Q43,Q437,,Q43.7 Persistencia de cloaca,5
Q43,Q438,,Q43.8 Outr malformacoes congen espec do intestino,5
Q43,Q439,,Q43.9 Malformacao congen NE do intestino,5
Q44,Q440,,Q44.0 Agenesia aplasia hipoplasia vesicula biliar,5
Q44,Q441,,Q44.1 Outr malformacoes congen da vesicula biliar,5
Q44,Q442,,Q44.2 Atresia das vias biliares,5
Q44,Q443,,Q44.3 Estenose estreitamento congen vias biliares,5
Q44,Q444,,Q44.4 Cisto do coledoco,5
Q44,Q445,,Q44.5 Outr malformacoes congen das vias biliares,5
Q44,Q446,,Q44.6 Doenc cistica do figado,5
Q44,Q447,,Q44.7 Outr malformacoes congen do figado,5
Q45,Q450,,Q45.0 Agenesia aplasia e hipoplasia do pancreas,5
Q45,Q451,,Q45.1 Pancreas anular,5
Q45,Q452,,Q45.2 Cisto pancreatico congen,5
Q45,Q453,,Q45.3 Outr malform congen pancreas duto pancreatic,5
Q45,Q458,,Q45.8 Outr malform congen espec aparelho digestivo,5
Q45,Q459,,Q45.9 Malformacao congen NE do aparelho digestivo,5
Q50,Q500,,Q50.0 Ausencia congen dos ovarios,3
Q50,Q501,,Q50.1 Cisto ovariano de desenvolv,3
Q50,Q502,,Q50.2 Torsao congen do ovario,3
Q50,Q503,,Q50.3 Outr malformacoes congen do ovario,3
Q50,Q504,,Q50.4 Cisto embrionario da trompa de Falopio,3
Q50,Q505,,Q50.5 Cisto embrionario do ligamento largo,3
Q50,Q506,,Q50.6 Outr malform congen tromp Falopio lig largos,3
Q51,Q510,,Q51.0 Agenesia e aplasia do utero,3
Q51,Q511,,Q51.1 Utero duplo c/duplicacao colo uterino vagina,3
Q51,Q512,,Q51.2 Outr duplicacao do utero,3
Q51,Q513,,Q51.3 Utero bicorneo,3
Q51,Q514,,Q51.4 Utero unicorneo,3
Q51,Q515,,Q51.5 Agenesia e aplasia do colo do utero,3
Q51,Q516,,Q51.6 Cisto embrionario do colo do utero,3
Q51,Q517,,Q51.7 Fistula congen utero-digest ou utero-urinar,3
Q51,Q518,,Q51.8 Outr malformacoes congen utero colo do utero,3
Q51,Q519,,Q51.9 Malformacao congen NE utero colo utero SOE,3
Q52,Q520,,Q52.0 Ausencia congen da vagina,3
Q52,Q521,,Q52.1 Duplicacao da vagina,3
Q52,Q522,,Q52.2 Fistula reto-vaginal congen,3
Q52,Q523,,Q52.3 Imperfuracao do himen,3
Q52,Q524,,Q52.4 Outr malformacoes congen da vagina,3
Q52,Q525,,Q52.5 Fusao dos labios vulvares,3
Q52,Q526,,Q52.6 Malformacao congen do clitoris,3
Q52,Q527,,Q52.7 Outr malformacoes congen da vulva,3
Q52,Q528,,Q52.8 Outr malform congen espec org genitais femin,3
Q52,Q529,,Q52.9 Malform congen NE dos orgaos genitais femin,3
Q53,Q530,,Q53.0 Testiculo ectopico,1
Q53,Q531,,Q53.1 Testiculo nao-descido unilateral,1
Q53,Q532,,Q53.2 Testiculo nao-descido bilateral,1
Q53,Q539,,Q53.9 Testiculo nao-descido NE,1
Q54,Q540,,Q54.0 Hipospadia balanica,1
Q54,Q541,,Q54.1 Hipospadia peniana,1
Q54,Q542,,Q54.2 Hipospadia penoscrotal,1
Q54,Q543,,Q54.3 Hipospadia perineal,1
Q54,Q544,,Q54.4 Corda venerea congen,1
Q54,Q548,,Q54.8 Outr hipospadias,1
Q54,Q549,,Q54.9 Hipospadia NE,1
Q55,Q550,,Q55.0 Ausencia e aplasia do testiculo,1
Q55,Q551,,Q55.1 Hipoplasia do testiculo e do escroto,1
Q55,Q552,,Q55.2 Outr malformacoes congen testiculo e escroto,1
Q55,Q553,,Q55.3 Atresia do canal deferente,1
Q55,Q554,,Q55.4 Out malf cong can defer epid ves sem prostat,1
Q55,Q555,,Q55.5 Ausencia e aplasia congen do penis,1
Q55,Q556,,Q55.6 Outr malformacoes congen do penis,1
Q55,Q558,,Q55.8 Outr malform congen espec org genitais masc,1
Q55,Q559,,Q55.9 Malform congen NE dos orgaos genitais masc,1
Q56,Q560,,Q56.0 Hermafroditismo NCOP,5
Q56,Q561,,Q56.1 Pseudo-hermafroditismo masc NCOP,5
Q56,Q562,,Q56.2 Pseudo-hermafroditismo femin NCOP,5
Q56,Q563,,Q56.3 Pseudo-hermafroditismo NE,5
Q56,Q564,,Q56.4 Sexo indeterminado NE,5
Q60,Q600,,Q60.0 Agenesia unilateral do rim,5
Q60,Q601,,Q60.1 Agenesia bilateral do rim,5
Q60,Q602,,Q60.2 Agenesia renal NE,5
Q60,Q603,,Q60.3 Hipoplasia renal unilateral,5
Q60,Q604,,Q60.4 Hipoplasia renal bilateral,5
Q60,Q605,,Q60.5 Hipoplasia renal NE,5
Q60,Q606,,Q60.6 Sindr de Potter,5
Q61,Q610,,Q61.0 Cisto congen unico do rim,5
Q61,Q611,,Q61.1 Rim policistico tipo infantil,5
Q61,Q612,,Q61.2 Rim policistico tipo adulto,5
Q61,Q613,,Q61.3 Rim policistico NE,5
Q61,Q614,,Q61.4 Displasia renal,5
Q61,Q615,,Q61.5 Cisto medular do rim,5
Q61,Q618,,Q61.8 Outr doenc cisticas do rim,5
Q61,Q619,,Q61.9 Doenc cistica NE do rim,5
Q62,Q620,,Q62.0 Hidronefrose congen,5
Q62,Q621,,Q62.1 Atresia e estenose do ureter,5
Q62,Q622,,Q62.2 Megaureter congen,5
Q62,Q623,,Q62.3 Outr anom obstr da pelve renal e do ureter,5
Q62,Q624,,Q62.4 Agenesia do ureter,5
Q62,Q625,,Q62.5 Duplicacao do ureter,5
Q62,Q626,,Q62.6 Ma-posicao do ureter,5
Q62,Q627,,Q62.7 Refluxo vesico-uretero-renal congen,5
Q62,Q628,,Q62.8 Outr malformacoes congen do ureter,5
Q63,Q630,,Q63.0 Rim supranumerario,5
Q63,Q631,,Q63.1 Rim lobulado fundido ou em ferradura,5
Q63,Q632,,Q63.2 Rim ectopico,5
Q63,Q633,,Q63.3 Rim hiperplasico e gigante,5
Q63,Q638,,Q63.8 Outr malformacoes congen espec do rim,5
Q63,Q639,,Q63.9 Malformacao congen NE do rim,5
Q64,Q640,,Q64.0 Epispadias,5
Q64,Q641,,Q64.1 Extrofia vesical,5
Q64,Q642,,Q64.2 Valvulas uretrais posteriores congen,5
Q64,Q643,,Q64.3 Outr form atresia estenose uretra colo bexig,5
Q64,Q644,,Q64.4 Malformacao do uraco,5
Q64,Q645,,Q64.5 Ausencia congen da bexiga e da uretra,5
Q64,Q646,,Q64.6 Diverticulo congen da bexiga,5
Q64,Q647,,Q64.7 Outr malformacoes congen da bexiga e uretra,5
Q64,Q648,,Q64.8 Outr malform congen espec aparelho urinario,5
Q64,Q649,,Q64.9 Malformacao congen NE do aparelho urinario,5
Q65,Q650,,Q65.0 Luxacao congen unilateral do quadril,5
Q65,Q651,,Q65.1 Luxacao congen bilateral do quadril,5
Q65,Q652,,Q65.2 Luxacao congen NE do quadril,5
Q65,Q653,,Q65.3 Subluxacao congen unilateral do quadril,5
Q65,Q654,,Q65.4 Subluxacao congen bilateral do quadril,5
Q65,Q655,,Q65.5 Subluxacao congen NE do quadril,5
Q65,Q656,,Q65.6 Quadril instavel,5
Q65,Q658,,Q65.8 Outr deform congen do quadril,5
Q65,Q659,,Q65.9 Deform congen NE do quadril,5
Q66,Q660,,Q66.0 Pe torto equinovaro,5
Q66,Q661,,Q66.1 Pe torto calcaneovaro,5
Q66,Q662,,Q66.2 Metatarso varo,5
Q66,Q663,,Q66.3 Outr deform congen dos pes em varo,5
Q66,Q664,,Q66.4 Pe torto calcaneovalgo,5
Q66,Q665,,Q66.5 Pe chato congen,5
Q66,Q666,,Q66.6 Outr deform congen dos pes em valgo,5
Q66,Q667,,Q66.7 Pe cavo,5
Q66,Q668,,Q66.8 Outr deform congen do pe,5
Q66,Q669,,Q66.9 Deform congen NE do pe,5
Q67,Q670,,Q67.0 Assimetria facial,5
Q67,Q671,,Q67.1 Deform facial p/compressao,5
Q67,Q672,,Q67.2 Dolicocefalia,5
Q67,Q673,,Q67.3 Plagiocefalia,5
Q67,Q674,,Q67.4 Outr deform congen cranio face e mandibula,5
Q67,Q675,,Q67.5 Deform congen da coluna vertebral,5
Q67,Q676,,Q67.6 Torax escavado,5
Q67,Q677,,Q67.7 Torax carinado,5
Q67,Q678,,Q67.8 Outr deform congen do torax,5
Q68,Q680,,Q68.0 Deform congen musculo esternocleidomastoideu,5
Q68,Q681,,Q68.1 Deform congen da mao,5
Q68,Q682,,Q68.2 Deform congen do joelho,5
Q68,Q683,,Q68.3 Encurvamento congen do femur,5
Q68,Q684,,Q68.4 Encurvamento congen da tibia e da peronio,5
Q68,Q685,,Q68.5 Encurv congen ossos longos NE membro infer,5
Q68,Q688,,Q68.8 Outr deform osteomusculares congen,5
Q69,Q690,,Q69.0 Dedos da mao supranumerarios,5
Q69,Q691,,Q69.1 Polegares supranumerarios,5
Q69,Q692,,Q69.2 Artelhos supranumerarios,5
Q69,Q699,,Q69.9 Polidactilia NE,5
Q70,Q700,,Q70.0 Coalescencia dos dedos,5
Q70,Q701,,Q70.1 Dedos palmados,5
Q70,Q702,,Q70.2 Coalescencia dos artelhos,5
Q70,Q703,,Q70.3 Artelhos palmados,5
Q70,Q704,,Q70.4 Polissindactilia,5
Q70,Q709,,Q70.9 Sindactilia NE,5
Q71,Q710,,Q71.0 Ausencia congen completa de membros super,5
Q71,Q711,,Q71.1 Ausencia congen braco antebraco c/mao pres,5
Q71,Q712,,Q71.2 Ausencia congen do antebraco e da mao,5
Q71,Q713,,Q71.3 Ausencia congen da mao e de dedos,5
Q71,Q714,,Q71.4 Defeito de reducao longitudinal do radio,5
Q71,Q715,,Q71.5 Defeito de reducao longitudinal do cubito,5
Q71,Q716,,Q71.6 Mao em garra de lagosta,5
Q71,Q718,,Q71.8 Outr defeitos de reducao do membro super,5
Q71,Q719,,Q71.9 Defeito p/reducao do membro super NE,5
Q72,Q720,,Q72.0 Ausencia congen completa de membros infer,5
Q72,Q721,,Q72.1 Ausencia congen coxa perna c/pe presente,5
Q72,Q722,,Q72.2 Ausencia congen da perna e do pe,5
Q72,Q723,,Q72.3 Ausencia congen do pe e de artelhos,5
Q72,Q724,,Q72.4 Defeito p/reducao longitudinal da tibia,5
Q72,Q725,,Q72.5 Defeito p/reducao longitudinal da tibia,5
Q72,Q726,,Q72.6 Defeito p/reducao longitudinal do peronio,5
Q72,Q727,,Q72.7 Pe bifido,5
Q72,Q728,,Q72.8 Outr defeitos p/reducao de membros infer,5
Q72,Q729,,Q72.9 Defeito NE p/reducao do membro infer,5
Q73,Q730,,Q73.0 Ausencia congen de membros NE,5
Q73,Q731,,Q73.1 Focomelia membros NE,5
Q73,Q738,,Q73.8 Outr defeitos p/reducao de membros NE,5
Q74,Q740,,Q74.0 Out malform cong membr super incl cint escap,5
Q74,Q741,,Q74.1 Malformacao congen do joelho,5
Q74,Q742,,Q74.2 Outr malform cong membros inf incl cint pelv,5
Q74,Q743,,Q74.3 Artrogripose congen mult,5
Q74,Q748,,Q74.8 Outr malformacoes congen espec de membros,5
Q74,Q749,,Q74.9 Malformacoes congen NE de membros,5
Q75,Q750,,Q75.0 Craniossinostose,5
Q75,Q751,,Q75.1 Disostose craniofacial,5
Q75,Q752,,Q75.2 Hipertelorismo,5
Q75,Q753,,Q75.3 Macrocefalia,5
Q75,Q754,,Q75.4 Disostose mandibulo-facial,5
Q75,Q755,,Q75.5 Disostose oculo-mandibular,5
Q75,Q758,,Q75.8 Outr malform congen espec ossos cranio face,5
